id,nombre,email,curso,matematicas,criptografia,blockchain,mineria_datos,learning_analytics,participacion,horas_plataforma,tareas_entregadas,asistencia,foros,riesgo_real,nota_media,estado,nombre_cifrado,email_cifrado
11,Elena Lopez,elena.lopez@email.com,Analisis de Datos II,5.9,4.3,7.9,8.1,8.8,93,28,5,48,10,0,7.0,Estable,gAAAAABqBLwXVfBSAwprf438ROmoBsR-KzdmbRSQYMTim9m_K3jHKqbG5GOnCRbtynbSA5DyKGqfKKpEXbdU4qVxrnardCrXCA==,gAAAAABqBLwXXGw1LWojneF1jQ5G6leFPCB5lnYx2E-Qo0MKHa4Z8Jp98JAQJu2-nIPirzsjFnUUhZfqlNRclV-VqunHPZVPXUDgNgWFwOK8lBxOzOPRDlQ=
12,Beatriz Gomez,beatriz.gomez@email.com,Analisis de Datos II,8.3,9.0,4.7,8.6,5.9,39,40,7,94,7,1,7.3,En riesgo,gAAAAABqBLwXhmyrifXDUOWHb3RCA0wrwBF07qusmQNcZiH9djRgzZexLbuAq_MW9oIjFOZqt13a4RDEs6ipM5NAffqIIcLwQQ==,gAAAAABqBLwXCop-UUhayoHumR6to8VnXE7hntnaSs0Kp81vW-TJPxl9Tnz4KQvaQmZf0NDwsnsmTMQb3OJq0SqSj9n4Au2GmrDnu59Eww7TY-jZDYLqMlA=
13,Laura Lopez,laura.lopez@email.com,Analisis de Datos II,5.6,10.0,2.6,3.9,6.2,84,43,5,70,1,0,5.66,Estable,gAAAAABqBLwXw1tfVDXSy1tF5qV75ZNqRa4O-GJrWhkV1PvCHC-S44T33OTcnQSe1l9q0Do0FstNzB3Mdcez6HyznieF5IKgKA==,gAAAAABqBLwXBMDyn4rEvtr--8f8Xm8V8tidv3kQhTQk9k3X6KdgLLyyueB2c2QnThrMZ_b9tdhcsTlLyCOGvcSfEVOTpGblCbTJnaXrKavpVaFwkUr632c=
14,Javier Navarro,javier.navarro@email.com,Analisis de Datos II,6.8,6.5,4.8,6.6,9.0,85,12,8,79,7,0,6.74,Estable,gAAAAABqBLwXZx5d9av-fcGf8SAmK7GP-5oC1G3LobnM5lij3rrckfqA-W7DyvL4iLwyp7yCExM1FR1P05uUC5DFJJV60_AkMQ==,gAAAAABqBLwXUcnX5nZo1qWgXpVXBLBu3yhPYy7a6nNYvq-tEvfOwXdvqamXdDTIuUnS1B5BSK0jD7nrugRLpyzQYGVhtLq_sKWE3epItemPoc_cWD3GrUc=
15,Hugo Perez,hugo.perez@email.com,Analisis de Datos II,9.9,4.7,3.6,2.4,7.7,51,27,8,90,8,0,5.66,Estable,gAAAAABqBLwXrOI5KS-OyKTTuDO0dI-7txzZwhgFCHr188aRN294aGfhOCu8fNafxJA7W5MNpdLLBKy6zQ7IylLX2vATE13YXg==,gAAAAABqBLwX3h1Nv-yfq2BF3xiwVax0RUx_qZAliVZNkttSnkNgpoZjSmX_E4BDqV1XIqXR9Ye2noHwweZeUIU6V1Hrl5Wp__oVUk7CWRJ_sW5Z8K-OqT8=
16,Nuria Rios,nuria.rios@email.com,Analisis de Datos II,9.5,9.3,3.6,6.2,9.4,84,29,7,34,4,0,7.6,Estable,gAAAAABqBLwXuRc3PCDSC0XbbL3k76_5K2gsrEDG9hXtcTaEZg4Lb-zYWcJPbzTiS9Yny81ajcHIXIaZY0qbgoldT630sD0NvA==,gAAAAABqBLwXO4OwjpgIX2up8qe78dXfIaHnQpTEj00Tseu6S-Chqyovadzrl5XV1fzpt3I9k0eLuiWSVg4vHgBDfKOT2eayWy3g0nRRnKM1E5e89xvtGlQ=
17,Nuria Rubio,nuria.rubio@email.com,Analisis de Datos II,3.9,5.1,3.0,5.3,9.9,41,21,7,76,8,1,5.44,En riesgo,gAAAAABqBLwX-8HPaAnwnlUbkCgRxKDuIsj235h1RScB5mxS31A62aya9hdLij65XYDXC57e0RwiBDIyCRFXdPg2rRgdmkA-7A==,gAAAAABqBLwXnOLYHtCTgE9my_6flP_Q_Ur5UqxqKDa7Z9BXdG4uYPxCSGEx2a89-P558kOUdlRHwC5LCmIpfRevgM2b8xn8Ogy0f1kcFQ16LPQXoourfWQ=
18,Marcos Torres,marcos.torres@email.com,Analisis de Datos II,6.1,9.2,3.5,7.9,6.2,43,40,7,77,5,1,6.58,En riesgo,gAAAAABqBLwXHPXxAX9g9UlQ14y1H6mJv73zI_VDDzPIHJWUsmgZu9addQcqVmyEou8qEZoAuFkMypQCokomnBj0_cVof13f2w==,gAAAAABqBLwXKc4y0_Ghyn127IQ0D4-PxIZjN6gslYcUdbbaZ6GOQsVXoed4nNh26PhRWLcJytdQeyAuTMI_UgDugWAlv_yr-xcdmo9YKdH6SlhNviSK0z0=
19,Marta Cano,marta.cano@email.com,Analisis de Datos II,8.3,9.8,7.4,6.0,8.4,43,20,1,65,4,1,7.98,En riesgo,gAAAAABqBLwX4TCdKWBjIVHfd210KcN2vpksn5Ck8J1_78sj5FMapvLlDAUkVhfw2hf3EdBGKGq9nyp33-w_KfWv8puE_c1sAA==,gAAAAABqBLwXoxzv4crUXq2p-hhjn2j69opFaqeaRXcwdPL7z-seL3W5NBMr89XaSYqdlGfOSnaqaH69eFbX8NyUrjF7LFgR_2yDlPDN3Lw4jfs-0AsL8Jc=
20,Carmen Ortega,carmen.ortega@email.com,Analisis de Datos II,7.1,7.9,7.2,8.4,7.2,73,43,5,62,4,0,7.56,Estable,gAAAAABqBLwXS5QrnnnSAvA1i3Og7MbT2kQvbxEQAKv83XlP-z9MyMGeOVePAbC1-WXe_0sdmWSIh8uK6gGkNmnPwOHZFn--Kg==,gAAAAABqBLwXf0alyUHDXfT9ODPks5Xio1dK3SXe5a4ePSmJwNlayIvQAWOAAKaTPMM7NtiLD6JFc6-p1SgQa2PkQcNcTo0Fkbx3WXj2ojnhIe6DkfhZr6Q=
21,Javier Martin,javier.martin@email.com,Analisis de Datos II,8.1,3.3,9.2,8.0,7.5,51,19,10,32,10,0,7.22,Estable,gAAAAABqBLwXkLryrsbbPzo4jih_J7BLXQysIYldrhioxd22HblW1E29doAnOy5uQUzoweqSKusq1I9meRfyUQ3-bSLvjCABIQ==,gAAAAABqBLwX6-CruFrqUC0DAsVuOYVd4Ui1Q4Y_ntbkNqgQleUx_a_7utjCLcE4fKnMAm2ISKZOyV-XF0G5BL6KwbnkFMOtn-pIoOJmUPGJqrp_kK8CW90=
22,Silvia Marin,silvia.marin@email.com,Analisis de Datos II,8.4,9.8,2.3,7.2,8.2,52,14,6,69,2,0,7.18,Estable,gAAAAABqBLwXkj2gEW2lOcSKQ06W501f74NQCXRtOsTruXDAzzX1XTmobrfDlPkY_YohutRSiBu-Npr0sGbdpSgIe-ZC_asamg==,gAAAAABqBLwXcyun9hl17H28ZIN6eLvDbsWJn5mrzgg41yokrXsuqftS3UKLJa1j4CBCdmUfPOmTaJ_tRdRf7_XdCZ4M3RJKoCmNokBhc50P_d0q54e1OGA=
23,Paula Navarro,paula.navarro@email.com,Analisis de Datos II,8.1,9.9,7.6,3.2,4.6,50,48,6,95,9,0,6.68,Estable,gAAAAABqBLwXCqNMkkN5WL1N8iHpkOCCsRNx4QkOv3sGt08Vqdg-IL_wSJ-DVtcik0x2Y8K3UJpF3eDSpo7p43JqqQRj-Mq7rg==,gAAAAABqBLwXjyIpfImIhFr2W0ztuGNMeientMIOT72MDe9l9HlmC-ngi64c0RfZNBbj3tCZ2HO4TOfykdwHiB4_TQRK23J-a-ZvQaOjIG-ANmYF5gFwzao=
24,Silvia Ramos,silvia.ramos@email.com,Analisis de Datos II,2.0,7.5,2.4,2.1,6.5,21,23,6,64,0,1,4.1,En riesgo,gAAAAABqBLwX5oe4gfjw5A9bAWpswPYishIqJwVqXSIr4eqUAbji3XTzDzq-yOUsSXxvkw-0FvOwD8JkaMA1yO8eJxe-dGY4wA==,gAAAAABqBLwXSkGjiGK3uEOpiQ_4S_CeO-bVfDAyxP6yTGICdp7ZTDIr_SZUidSVyHHXa0RCOJSn9zdGcprs18BbzopSHTKckXkmWH9iYlDHn4L2ikHHMvU=
25,Ivan Gil,ivan.gil@email.com,Analisis de Datos II,7.5,7.0,2.8,5.5,7.6,30,10,9,64,7,1,6.08,En riesgo,gAAAAABqBLwXiuKy9DTT66XCdYE3maea0hktrBkBechUyV64XdgF__z2UwIUgvI7mwNrKO6nejIHUqrj4UijP-KKmCmrj4Icew==,gAAAAABqBLwX3coc-m_UraAYGNysf-ahWixb4aVxFWcGWFecvt0Zza-sKfBglR0LsGkUDAXcYhYEE6JZ6QuZuNK8lijVgG3nBM73Cz3duFht4muIO7vQ080=
26,Pedro Sanchez,pedro.sanchez@email.com,Analisis de Datos II,8.9,8.5,7.8,8.4,5.7,42,16,8,73,2,1,7.86,En riesgo,gAAAAABqBLwXAdY1i3l-dOj9RqcGeVlQTtVRUYeVmI2bYEEN5rhMbeJ47CBmvFeXGw5pxHRtWQHOFJ_fyPCxecR4AiIm27CrJA==,gAAAAABqBLwXUsnVkSWXiLxLCVXSnJVxVoNZpRvPKg92WIBiiqr9jkAG8g_IZqUY4gZs3s_jEMxRoX94nD-MtNEbV1TUJB0ohJ6XMCe7I4ovagE0vY_9HwE=
27,Teresa Serrano,teresa.serrano@email.com,Analisis de Datos II,9.3,4.4,4.6,2.2,5.9,41,11,8,94,7,1,5.28,En riesgo,gAAAAABqBLwXHZLZgceG9ru7QfQ6_gwnLXksL0F1dpRV45feHx19BOirt7SFVlTGl4OZ4kgNU3y6_mHvX98xyycCVRid2yS0Vg==,gAAAAABqBLwXQnk5LxYtYN_6i3McpmwZAWWKFKdH8vAK6Dz_n4VxRJbO-zO7YQfgXXzguopn9nAglaF51il80tcTCqFuBVhDLlMJl8rS0_1wX-NK1Hv_kCc=
28,Nuria Garcia,nuria.garcia@email.com,Analisis de Datos II,5.9,9.4,6.6,3.4,2.2,38,5,6,93,10,1,5.5,En riesgo,gAAAAABqBLwXKqro_gpVy4PPWdbSiso4Y0XI3rr8XBum6SJ1hHRCPlDTKLq0x8_BMUScMD6SkAx_CqZ6Dxt8n8EmYUU-CleBsA==,gAAAAABqBLwXIlZdF-qjAQVYBX38UfxakIgRXnjd8CrwatfR7V7BEHtiiG9Z4Y4x1-LB-IoFf7gkP6ehaONG6YqJbjtQKEhLsQmtfcCW8EH683vEiKdyVjg=
29,Nuria Ramos,nuria.ramos@email.com,Analisis de Datos II,3.6,5.3,9.1,2.8,6.2,87,45,3,33,1,0,5.4,Estable,gAAAAABqBLwX-FOveW4QahkUVMnntH-1HUEuPQzkxwtIcT9fZtW6G8ALbJstNfmnCdYJ19XLDMLMNLfTPLCErpQnXRbmoEQS2w==,gAAAAABqBLwXNvmWB7LwGc2njLe13qLkfkdlQxWQLphspipxlwMSkA9dy-gJ0nKmg71GN9N-j9gPxg30zxNer_5Z-z4--XLdemsaWWTng6970D7Cvzylj5c=
30,Patricia Ortega,patricia.ortega@email.com,Analisis de Datos II,3.2,8.6,7.0,5.5,6.9,68,5,8,85,1,0,6.24,Estable,gAAAAABqBLwXLaUkd3Pv3MjepNNrV1Z2HAQK2J1z-9Qu94xpJ-73C8atBK0XEWzWW97LimYfJjjEG26HJnnYDjMbd183FwDIGg==,gAAAAABqBLwX6S0xSUnsHMLx2YqYoPhBveaPhkKk8Ai6GbWPk4BU-hymvEBEbQ7RwdYcCjonNcTFuKb2AmvLfBAzRFyz_WiogYA76oi1gemwA0B4bzgYf20=
31,Alberto Ruiz,alberto.ruiz@email.com,Analisis de Datos II,7.3,6.6,7.6,7.7,7.9,97,34,1,65,7,0,7.42,Estable,gAAAAABqBLwXwP3ahlRy2dG_wUopyjRrYAyvYCI_XBld13hUcP680v9v-nDvGnzYdgVoygWmd0SRCB5SHKzQfG_JHkVe2kHa6w==,gAAAAABqBLwX3PCFhdMPXLS7sLrex7tmcDuBD6HokrauvSChDyUvyhvyjOnNBOEKx7PyFyEhtw5MJSPm2gAEpFrT5O3KgWXHHUgIVTbmpYyM3tXr-76mkPA=
32,Pedro Garcia,pedro.garcia@email.com,Analisis de Datos II,9.7,5.9,4.1,7.3,7.4,62,14,10,63,5,0,6.88,Estable,gAAAAABqBLwXSqaWoyAMmQ95CkzhI5rt_fMhCc--JOuQPgdk3Vlf028DQeoHCLpWY2gHhnlXyB5zo0qFzQZKGt8rniAnz3w50A==,gAAAAABqBLwXKIdKcCvEXyQ1q6-LgvKofTJlV2UAfP9qSSzhvS7nk2BRfpc_rNTPfYz9vJW5mpONvbf4nJgQBxb3XGmbDBHy4jA-9mq34f8SyRldpdMf0O0=
33,Nuria Pastor,nuria.pastor@email.com,Analisis de Datos II,2.7,2.7,8.9,7.3,2.1,65,6,7,44,0,1,4.74,En riesgo,gAAAAABqBLwXTIAwBQrWk37mtsHjDjo98cq1yROJeVXZDrJPoTgLPrvlv3AAy5IQ2gkUGsOLSits5aUx4XgUjTMoCEskcU1RYg==,gAAAAABqBLwXs4FJnjyRtYvCr4jSdv6xqHUFR_ZcA4E-i3nz7IFmv5UrYQj6pn6G0a-t2ZBNv72VGpS_5LHRWlxUzNUtGrx-fOoWrJhGquTv5Ot5OFhP8JU=
34,Claudia Sanchez,claudia.sanchez@email.com,Analisis de Datos II,4.6,6.3,6.5,9.6,2.0,63,8,9,34,7,0,5.8,Estable,gAAAAABqBLwXTnLYCjL82DXRGXcGjm3onFKyQ23AcDgntKVXCyIJitYNdmBsogaylrg8g21Q9f7GUH8tw9AJ9OqcBTHbsug_SA==,gAAAAABqBLwXxpJjnd0X651o38XSLJ6MX7_6iYabNkaaMN6m3daE4mQNn5spSgILj9Y4cofAoD2FT-WgqVgMgY5h8JC_KDlS3CheR97whOPeI0-i90rQs9A=
35,Marta Torres,marta.torres@email.com,Analisis de Datos II,2.7,7.1,9.1,5.6,2.9,49,30,4,42,8,1,5.48,En riesgo,gAAAAABqBLwXclh6jOcC8jeJdq8PPWXQfazHY6ZzslOewxGn_zuQnZbJdU10bg_mZshQilmlQ-ReAVB_1UTt9GrVwPSXLlEvNQ==,gAAAAABqBLwXtacAJxz_T1Vq0AmsX-hU43jJ_numhfXTaZuAsbBtUU8ZbDLFBE2P7UPy0-JQSlC3Wnz3kz8TnSCCbAfAr29KSE9u2Qx6vhFAsWi4df8nsGo=
36,Claudia Sanchez,claudia.sanchez@email.com,Analisis de Datos II,4.2,4.2,9.2,5.7,6.0,43,13,7,49,5,1,5.86,En riesgo,gAAAAABqBLwX0alxAE4524G0wxgqI1yxCHpQj38UWxQATD_Q6Q2-SLmJVMIFiP07XZGiNIUKRI1N1khHQUhoImoGOIHIz-oKKA==,gAAAAABqBLwXQz6hz1a-P1rtA2UcSKWDaXiNVipU5E25YXxyAPsSXeGvA7lPbuKff2-EGEoiYsiVKN8fRNX85yeDONMzVLZOnSh28cMFpg4SideiGy15PI0=
37,Alberto Rios,alberto.rios@email.com,Analisis de Datos II,4.0,4.7,4.5,8.9,6.9,53,22,10,96,1,0,5.8,Estable,gAAAAABqBLwXV4M-8X3R_7L5JDKrZNPQRjKjXop1HwMcFt4Rrsv3XzZ7AHwCTPEFGkSOGjRR3BD8frYnEL9QtBug0g9bZ9BzDw==,gAAAAABqBLwXmPwTRafPhbT-LhfYghOBMhG2rgIC5GqlgDhk-B4uFl0rc_KfOSSGM7vW-8y5tT2iX608ps2i-uZeYlKwHwyyK-DEMYvjvLHRr2Bpxv3H0SE=
38,Nuria Nieto,nuria.nieto@email.com,Analisis de Datos II,5.6,6.6,3.3,3.7,4.4,75,32,9,80,6,1,4.72,En riesgo,gAAAAABqBLwXN4Ss1WlEFiPgfhskDR7tc-xeihdPpOhh4YUG-jwaCXgMXeKHQLBiXuwIOA74CptYzehIrDS27Dg0lJUZKotOUg==,gAAAAABqBLwX-vXMh-gH86vKr-VG1mPLCIaTv77v3_u-EEMYgoi4-zAaA6AunehJS05M66vW9A4phtGOyDZDR5lsTaDR2OsndaqFUuuAC4LCEAgkI1ZJSdU=
39,Elena Moreno,elena.moreno@email.com,Analisis de Datos II,5.7,4.1,8.8,7.5,3.2,69,40,3,77,4,0,5.86,Estable,gAAAAABqBLwXjAE-IYsDSO8vCYzKB5pfkanJbcIXKR3O3n0FEUb2Q9TdrnHKtjCSVp-E0xInUUBbofTjXOw41DRErqUmwHbP1g==,gAAAAABqBLwXHNt8UWiv34ty-6rnBG1-vfJQflw4FhMInRC90sXIOcRH2RL7_g77GhNrT0Kg0EblsFhzK_6_ZORq2mLB_QngiEI7Nv5t0MXW_mat9TH6rB0=
40,Claudia Perez,claudia.perez@email.com,Analisis de Datos II,9.6,6.2,4.6,5.7,9.2,70,13,3,71,2,0,7.06,Estable,gAAAAABqBLwXG-MI2smp6yF7I6FmxbMNg4E51koslxPgWq7gy2eVpq6Vdp4I2rVqQ7-Xxcr4focEfsQGvqkFDEI0y_gN61tQ5A==,gAAAAABqBLwXBKnMaD1VVj9bt4LRrORbZd_hP6Yt8eQTV_EI_FQ8CcLxrsSfyQ4FnnpNIKIww12CLBRJQR6F5dA7HtdhcM5NLt7tv5q2VgQaauTCJO2Jalc=
41,Victor Pastor,victor.pastor@email.com,Analisis de Datos II,4.2,7.2,7.7,6.2,4.5,60,8,8,41,10,0,5.96,Estable,gAAAAABqBLwXS67rj6MY8FyIQ0tFmTuDvR2FfD7XUgmU6IRnJNvz271yJ62XpdBSFpfeaAwsxcsZxvUTuQ4VhYlBBdFgwC64Dg==,gAAAAABqBLwXrtZA57OcxDQC3Uap621_4Cz4vnhJos5XKi4qj9C6TSBotVRNCJQbO6YTUEJN94SpM_2IU_bgkmmn7e27K4BM3va4h4MyINWtXHmonXEk9Jg=
42,Beatriz Rios,beatriz.rios@email.com,Analisis de Datos II,6.4,2.4,5.2,7.7,5.2,84,38,4,43,8,0,5.38,Estable,gAAAAABqBLwXMWYvVw4dmP1dkE3GNrat83hOv4b0CRdAZV_-Rj6j6TJF_729usYXC_2juU7Nbmxf5eh7YN5OjtpOVB62_8sIjg==,gAAAAABqBLwXioBofn4Lz4o7sATbE5wTOBTagqCPtAWT8c4b-QbSnyfmr-efimXwqX84m6o45fW8eeHrYrp-u_G9-Ky4ixNTowRlgxpoB8BfESgQoTSJ2ko=
43,Nuria Torres,nuria.torres@email.com,Analisis de Datos II,7.3,6.8,5.2,8.9,7.8,87,45,5,54,8,0,7.2,Estable,gAAAAABqBLwX3Q-LZ7exhWR6DMKqByvLGMoWhRW9I-68RJNy7hsBWlV8FP6IRrmJIoXWO1_3D2SJXKmIKWlooUx5mT-_kcPKvw==,gAAAAABqBLwXuo-0mn_ahdvrPC8ggnZa1LpOoQPjT-URBuGkyo7gj-R0OQMxJdzrhM83tZvH72qEH3ChFAlpEDDvLW3CAqQ_hj7gkiWC-GzFppA8iPMS0-8=
44,Elena Gil,elena.gil@email.com,Analisis de Datos II,3.2,4.1,5.2,6.9,5.0,67,37,1,86,8,1,4.88,En riesgo,gAAAAABqBLwX8KW_Qu34WaDFPdMmIcJmvUNb5J-M_8stDO4gaCgUrDP1u57fl-8GmUXbQfAo_Bt8cFTpyBapMUWoPqHTLZxQqA==,gAAAAABqBLwX4owlfpXIbUi0TnnmJMf8OyzfhoFsZ4apxgPvSdWRLvVFGUum7kUFU1HK54ZAMcMtScyNxuOMzCFp3QvikwKXMaxgpMSCuw0hcy96MLgtt5E=
45,Oscar Navarro,oscar.navarro@email.com,Analisis de Datos II,9.2,3.5,5.6,8.1,9.0,85,16,9,90,4,0,7.08,Estable,gAAAAABqBLwXl3X-fHhtMyF7iGOBWahkqrNJMyr3FFX2nxvgVJk6Y4IHPNLpkKaqM4l-LBSRaF5AyLpk-HJrQxq0_qmD974p4g==,gAAAAABqBLwXBm6XUm0okNv0KA3cF3W05cM8eiP-Oyt_dlVwpJ1Rial4xiyeEgrX-0gqdSkdITOVPO-qWtOleXZTWFYaZGve_HUkTL-jkmQ4USuDsvKzT7w=
46,Ana Ramos,ana.ramos@email.com,Analisis de Datos II,3.9,4.6,4.6,10.0,5.4,35,17,2,37,8,1,5.7,En riesgo,gAAAAABqBLwXYzAXdmfp-ykwor9Gu_qHbzoxnpvPjpmcYC8pu8xENEjggyjxTvB8DT8A7DGDM8UHP6aDhDVKOKsFNTHITC2RNQ==,gAAAAABqBLwXYGrJjW_DFSx_6XNzBS0YBSI39rgHStt8O_Omjt0yomIBrPlPagbsUVVX0rmd0LiH2G8fHTJI7Ii6QzUQplweGoKBvsjLy3DPklv4Lj3UoJU=
47,Ivan Aguilar,ivan.aguilar@email.com,Analisis de Datos II,2.4,5.1,2.4,6.2,2.3,55,43,5,37,3,1,3.68,En riesgo,gAAAAABqBLwXAaujCiuPi7w4tMSyF2lgXifzW3RBA3zeFNMlUTibPMOIHQax8LlB_rxYyZMopbT_QxPyJmyIbVxqc2fLBoA7yg==,gAAAAABqBLwXdr6jVfwcDZuBXEh48J8LqUF3gVZ2tdfE7lrK69C4rgxG14pRvRi87iBosqq938SWgw8bheaPJ_3NwDoV34QKg3APB9DVxXkDMy5gRMP1UZA=
48,David Serrano,david.serrano@email.com,Analisis de Datos II,6.3,7.1,7.8,7.4,2.5,56,6,2,61,7,0,6.22,Estable,gAAAAABqBLwXXHKdSzITglub71Zn3rJQgxrRHxrrMuz1AgbWwsraslFlqxV6sRVcCNex2sNWTe4K9R7BQAPAf8el1ui_0CG-4A==,gAAAAABqBLwX-Wis2SCQZks233x72Dm3HpoSxx8McWh9X4XRytT09Zooaf3ik1NLLaNgPBX9bKMOaAfZ42Cr5J7dhffhrXizWIvgAKIyYt78Q266z9dwtY8=
