id,nombre,email,curso,matematicas,criptografia,blockchain,mineria_datos,learning_analytics,participacion,horas_plataforma,tareas_entregadas,asistencia,foros,riesgo_real
91,Victor Garcia,victor.garcia@email.com,Analisis de Datos II,3.7,2.2,6.0,3.0,6.2,96,16,10,56,4,1
92,Nuria Romero,nuria.romero@email.com,Analisis de Datos II,4.7,8.3,4.9,8.4,8.7,96,9,1,42,0,0
93,Daniel Ruiz,daniel.ruiz@email.com,Analisis de Datos II,9.8,2.2,8.5,4.3,6.8,61,20,1,98,0,0
94,Nuria Torres,nuria.torres@email.com,Analisis de Datos II,9.7,5.2,9.6,6.7,5.9,42,20,7,67,4,1
95,Elena Lopez,elena.lopez@email.com,Analisis de Datos II,8.3,7.0,7.7,8.4,3.1,62,38,5,92,6,0
96,Ana Cano,ana.cano@email.com,Analisis de Datos II,6.2,2.5,3.5,9.4,9.8,26,17,6,65,9,1
97,Javier Lopez,javier.lopez@email.com,Analisis de Datos II,3.7,4.6,7.0,9.5,6.3,50,41,1,32,0,0
98,Pedro Herrera,pedro.herrera@email.com,Analisis de Datos II,3.9,4.9,7.4,9.3,2.7,63,17,8,33,7,0
99,Daniel Rios,daniel.rios@email.com,Analisis de Datos II,6.5,9.7,8.2,4.7,2.7,32,8,4,95,3,1
100,Irene Pastor,irene.pastor@email.com,Analisis de Datos II,7.6,3.9,6.4,8.8,7.3,70,15,7,57,3,0
